volledige naam,QID,facebook,social media followers,image,commons,linkedin,twitter,gemeente,functie,partij
Eva Platteau,Q101056122,evaplatteaugroen,,,,evaplatteau,PlatteauEva,Leuven,,Groen
Evelien De Both,Q110367479,,,,,,,Zottegem,Burgemeester,N-VA
Eveline Hoste,Q2214902,,,,,,,,,Open Vld
Evelyne Fontaine,,,,,,,,Geetbets,,Open-Vld
Evert Mol,,,,,,,,Balen,,CD&V
Evita Willaert,Q17429594,,2308,,,,EvitaWillaert,Gent,,Groen
Fabienne Pottier,,,,,,,,Knokke-Heist,,N-VA
Fatima Oumimoun,,,,,,,,Blankenberge,,Vooruit
Fatma Pehlivan,Q748338,,,,,,,Gent,Gemeenteraadslid,
Fatma Yildiz,,,,,,,,Aalst,,Groen
Fauzaya Talhaoui,Q685728,,,,,,,Antwerpen,,sp.a
Felix Strackx,Q3068175,,,,,,,Tremelo,Gemeenteraadslid,VLAAMS BELANG
Femke Pieters,,,,,,,,Sint-Niklaas,,Vlaams Belang
Filip Anthuenis,Q2532599,,,,,,,Lokeren,Burgemeester,Open Vld
Filip Dewinter,Q1344265,,35995,FilipDewinter2015.jpg,Filip Dewinter,,FDW_VB,Antwerpen,,VLAAMS BELANG
Filip Durant,,,,,,,,Galmaarden,,N-VA
Filip Peeters,Q607613,,,Filip Peeters (2020).jpg,,,,Boechout,,'t Dorp
Filip Smet,,,,,,,,Eeklo,,CD&V
Filip Thienpont,Q2624294,,,,,,,Merelbeke,Burgemeester,CD&V
Filip Watteeuw,Q2269802,,8290,Filip Watteeuw.jpg,Filip Watteeuw,,filipwatteeuw,Gent,,Groen
Fons Duchateau,Q28027919,,,,,,,Antwerpen,,N-VA
Fourat Ben Chikha,Q65283737,fourat.chikha,,Fourat Ben Chikha.jpg,,,fouratgent,Gent,,Groen
Francis Benoit,Q91117838,,,,,,,Kuurne,Burgemeester,CD&V
Francisco Sanchez y Santos,,,,,,,,Boom,,N-VA
Francis Peeters,,,,,,,,Kortenberg,,CD&V
Francis Stijnen,Q48537382,,,,,,,Turnhout,,CD&V
Franco Busato,,,,,,,,Hoeilaart,Gemeenteraadslid,UF
François Boddaert,,,,,,,,Hemiksem,,s.pa-waazienHgeire
François Bonaventure,,,,,,,,Machelen,Gemeenteraadslid,Open Vld
François Dussart,,,,,,,,Drogenbos,Gemeenteraadslid,UF
Françoise Gauthier,,,,,,,,Sint-Genesius-Rode,,IC-GB
Françoise Praet,,,,,,,,Bredene,Gemeenteraadslid,sp.a
François Huybrechts,,,,,,,,Kapellen,,
François Tielemans,,,,,,,,Meerhout,,cd
François Timmermans,,,,,,,,Lommel,,sp.a
Francy Van der Wildt,Q19587603,,,,,,,Rumst,,sp.a-Groen
Frank Boogaerts,Q1973059,,,,,,,Lier,Burgemeester,N-VA
Frank Hosteaux,Q17428209,,,,,,,Antwerpen,Gemeenteraadslid,PVDA+
Frank Naert,Q55232836,,,,,,,Knokke-Heist,Gemeenteraadslid,gemeentebelangen
Frank Peeters,,,,,,,,Bornem,,
Frank Smets,,,,,,,,Limburg,Provincieraadslid,
Frank Stevens,,,,,,,,Landen,,L'anders
Frank Troosters,Q65271176,,,,,,FrankTroosters,Hasselt,,VLAAMS BELANG
Frans De Bont,Q98142590,,,,,,,Baarle-Hertog,Burgemeester,FORUM+
Frans De Schutter,,,,,,,,Ravels,Gemeenteraadslid,
Frans Holsters,,,,,,,,Ternat,,LVB
Frans Speeckaert,,,,,,,,Knesselare,,
Frans Uytterhoeven,,,,,,,,Bonheiden,,BR30
Frans Vandeputte,,,,,,,,Langemark-Poelkapelle,Gemeenteraadslid,
Frans Verhelst,,,,,,,,Koekelare,Gemeenteraadslid,
Freddy Martens,,,,,,,,Kluisbergen,,GEMEENTEBELANGEN
Frederic Debuyst,,,,,,,,Borgloon,,sp.a
Frédéric Petit,,,,,,,,Wezembeek-Oppem,Aangewezen burgemeester,LB-Union
Frederik Mortier,,,,,,,,Melle,Lid van het Bijzonder Comité voor de Sociale Dienst,
Fredy Tanghe,Q2795934,,,Fredy Tanghe - Knesselare.jpg,Fredy Tanghe,,,Knesselare,Burgemeester,GROEP9910
Gaby Feyaerts,,,,,,,,Diest,,DDS
Gaëtane Maes,,,,,,,,Oosterzele,Lid van de Raad voor Maatschappelijk Welzijn,
Gaëtan Mertens,,,,,,,,Kraainem,Gemeenteraadslid,
Gaston Claes,,,,,,,,Kortenaken,Gemeenteraadslid,CD&V
Gaston De Bruyn,,,,,,,,Merelbeke,Gemeenteraadslid,sp.a
Gaston Van Tichelt,Q26132822,,,,,,,Essen,Burgemeester,CD&V ESSEN
Gauthier Defreyne,Q57390891,,,Gauthier defreyne-1555712038.jpg,,,,Gistel,Burgemeester,Open Vld
Geert Aerts,,,,,,,,Duffel,Gemeenteraadslid,N-VA
Geert Antonio,Q26132853,,,,,,,Rumst,Burgemeester,N-VA
Geert Bourgeois,Q2355582,gb2013,50849,Geert Bourgeois.jpg,Geert Bourgeois,geert-bourgeois-bb6741a,GeertBourgeois,Izegem,,
,Q2355582,,,Geert Bourgeois (2015).jpg,,,,,,
Geert Daems,Q98456719,,,,,,,Hulshout,Burgemeester,CD&V
Geert De Cock,,,,,,,,Denderleeuw,,LVB
Geert De Roo,,,,,,,,Maldegem,,De Merlaan
Geert De Sutter,,,,,,,,,,CD&V-Nieuw
Geert Goossens,,,,,,,,Tervuren,,
Geert Hermans,,,,,,,,Buggenhout,,CD&V
Geert Jansen,,,,,,,,Lommel,,Open Vld
Geert Janssens,,,,,,,,Scherpenheuvel-Zichem,,CD&V
Geert Mariën,,,,,,,,Nijlen,Gemeenteraadslid,CD&V
Geert Noppe,Q35200256,,,,,,,Beveren,Gemeenteraadslid,
Geertrui Windels,Q59544332,geertrui.windels.3,,Geertrui Windels.jpg,,,,Vlaams-Brabant,,CD&V
Geert Van den Bossche,,,,,,,,Londerzeel,,N-VA
Geert Van der Auwera,,,,,,,,Rumst,,CD&V - 3D
Geert Versnick,Q2439158,,,,,,,Oost-Vlaanderen,,
Geert Verstraete,,,,,,,,Ingelmunster,Gemeenteraadslid,
Geoffroy d'Aspremont Lynden,,,,,,,,,,Overijse Plus
Georges Anthuenis,Q2361248,,,,,,,Oost-Vlaanderen,Provincieraadslid,
Gerard Soete,,,,,,,,Middelkerke,Gemeenteraadslid,
Gerard Stassen,,,,,,,,Tongeren,,sp.a
Gerard Van Achter,,,,,,,,Zaventem,,
Gerda Van Steenberge,Q2406092,,,,,,,,,N-VA
Gerlant van Berlaer,Q82408987,,,,,,,Grimbergen,,Vooruit
Gert Doumen,Q5553182,,,,,,,Meeuwen-Gruitrode,Gemeenteraadslid,CD&V
Gert Fransen,Q2499703,,,,,,luysterborgh,Grobbendonk,,De Lokale Lijst
Gert Herman,,,,,,,,Kapellen,Lid van de Raad voor Maatschappelijk Welzijn,
Gertjan Willems,,,,,,,,Evergem,Gemeenteraadslid,
Gert Stas,,,,,,,,Sint-Truiden,,sp.a
Gert Stevens,,,,,,,,Sint-Gillis-Waas,,Vlaams Belang
Gert Van Assche,,,,,,,,Londerzeel,,N-VA
Gert Van Dijck,,,,,,,,Kalmthout,Lid van de Raad voor Maatschappelijk Welzijn,
Gilbert Bossuyt,Q2147361,,,,,,,Menen,Gemeenteraadslid,
Gilbert Lesage,,,,,,,,,,LVB
Gilbert Raman,,,,,,,,Blankenberge,Lid van het Bijzonder Comité voor de Sociale Dienst,Vooruit
Gilbert Van Baelen,Q20857126,,,,,,,Limburg,,SAMEN  PELT
Gilbert Verstraelen,Q22936690,,,Gilbert verstraelen -1549175693.jpg,,,,Merksem,,sp.a - Groen
Gilles Bultinck,Q106781974,,,,,,,Vosselaar,Burgemeester,CD&V
Gilles Verstraete,,,,,,,,Ruiselede,,RESPECT
Gitta Vanpeborgh,Q104191780,,,,,,,Mortsel,,sp.a-I love Mortsel
Glenn Lambert,,,,,,,,Tielt,,CD&V
Glenn Vincent,,,,,,,,Wemmel,Gemeenteraadslid,Wemmel Plus!
Goedele Uyttersprot,Q17429475,,,,,,,Lebbeke,,N-VA
Greet Anthoni,,,,,,,,Wijnegem,Lid van het Bijzonder Comité voor de Sociale Dienst,
Greet Daems,Q64686925,,,"Greet Daems, Back to the Climate 2021.jpg",Greet Daems,,,,,PVDA
Greet De bruyn,Q112183318,,,,,,,Bornem,Aangewezen burgemeester,CD&V
Greet De Roo,Q1842071,,,,,,,Ruiselede,Burgemeester,rkd
Greet Geypen,Q48215889,,,Greet Geypen.jpg,Greet Geypen,greet-geypen-8b29948a,ggeypen,Mechelen,,Vld-Groen-M+
Greet VanDen Berghe,,,,,,,,De Pinte,Lid van het Bijzonder Comité voor de Sociale Dienst,CD&V
Greet van Gool,Q17429485,,,,,,,Antwerpen,,sp.a
Greta De Grave,,,,,,,,Zemst,,N-VA
Greta Dereymaeker,Q81042902,,,,,,,Oud-Heverlee,Lid van het Bijzonder Comité voor de Sociale Dienst,
Greta Poppe,,,,,,,,Sint-Gillis-Waas,,N-VA
Griet Coppé,Q2539715,,,,,,,Roeselare,,CD&V
Griet Smaers,Q2252488,,,,,,,Geel,,CD&V
Griet Vanryckegem,Q52774193,,,,,,,Menen,,N-VA
Guido Aerts,,,,,,,,Schoten,Lid van de Raad voor Maatschappelijk Welzijn,
Guido De Padt,Q936465,,,Guido De Padt2.jpg,Guido De Padt,,,Geraardsbergen,Burgemeester,Open VLD
Guido Staes,,,,,,,,Ekeren,Districtsraadslid,Groen
Guido Thys,,,,,,,,Hoeselt,Burgemeester,N-VA/Nieuw
Güler Turan,Q2283161,,,Güler Turan als schepen in actie.jpg,Güler Turan,,,Antwerpen,,Vooruit
Gunter Vaes,,,,,,,,Halen,Lid van het Bijzonder Comité voor de Sociale Dienst,
Gust Adriaensen,Q27106588,,,,,,,Beerse,,BEERSEplus
Gust Claes,,,,,,,,Lokeren,Gemeenteraadslid,
Guy Joosten,,,,,,,,Hamont-Achel,,CD&V
Guy Martens,Q2789036,,,FC Salzburg gegen KRC Genk (UEFA Championsleague 17. September 2019) 07 (cropped).jpg,,,,As,,VOLUIT!
Guy Mertens,,,,,,,,Halen,,Vooruit
Guy Peeters,,,,,,,,Vorselaar,,N-VA
Guy Tancré,,,,,,,,Mesen,,MLM
Guy Uyttersprot,,,,,,,,Vlaams-Brabant,,N-VA
Guy Verhofstadt,Q12978,GuyVerhofstadt,464430,Guy Verhofstadt June 2021.jpg,Guy Verhofstadt,,GuyVerhofstadt,,,Open-Vld
Gwendolyn Rutten,Q718316,,72200,Gwendolyn-rutten-1379344162.jpg,Gwendolyn Rutten,,RuttenGwendolyn,Aarschot,Burgemeester,Open Vld
Hagen Goyvaerts,Q2304984,,,,,,,Leuven,,Vlaams Belang
Hans Bonte,Q3126936,,,Hans Bonte.jpg,Hans Bonte,,,Vilvoorde,Burgemeester,sp.a
Hans De Gent,,,,,,,,,,Vlaams Belang
Hans Geerts,,,,,,,,Merksplas,Gemeenteraadslid,CD&V
Hans Martens,,,,,,,,Nevele,,CD&V
Hans Proost,,,,,,,,Pelt,,Groen
Hans Stevens,,,,,,,,Sint-Amands,Gemeenteraadslid,CD&V
Hans Tielens,,,,,,,,Retie,Gemeenteraadslid,CD&V
Hans Verreyt,Q13653620,,1760,,,,HansVerreyt,Boom,,Groen
Hans Welters,,,,,,,,Heist-op-den-Berg,,CD&V
Harrie Dewitte,Q20871261,,,,,,,Genk,Gemeenteraadslid,PVDA+
Heidi De Wit,,,,,,,,Meerhout,Gemeenteraadslid,Open Vld
Helga Stevens,Q2359620,HelgastevensNVA,9159,Helga Stevens - English part- Citizens’ Corner debate on EU policies for asylum seekers and immigrants (18866622828) (cropped).jpg,Helga Stevens,,StevensHelga,Gent,,N-VA
Helmut Jaspers,,,,,,,,Essen,,sp.a-JijmaaktEssen
Hendrik Blommaert,,,,,,,,Horebeke,,Volksbelangen
Hendrik Bogaert,Q1819614,,12273,,,,hendrikbogaert,Jabbeke,,CD&V
Hendrik Carpentier,,,,,,,,Menen,,
Hendrik Otten,,,,,,,,Linkebeek,Gemeenteraadslid,PROLINK
Hendrik Verkest,Q13724308,,,Hendrik Verkest.jpg,Hendrik Verkest,,,Wingene,Burgemeester,CD&V
Henk Kindt,Q52828236,,,,,,,Roeselare,,sp.a &de vernieuwers
Henri Dumont,,,,,,,,Heers,Burgemeester,DUMONT
Herman Lenaerts,,,,,,,,Linter,,CD&V
Herman Uyttersprot,,,,,,,,Beveren,,N-VA
Herman Vijt,Q74367355,,,,,,,Hamme,Burgemeester,CD&V HammeMoerzeke
Herman Wynants,Q17351022,,,,,,,Westerlo,,N-VA
Hilde Crevits,Q15994,hilde.crevits,83693,Hilde crevits-1445144080.jpg,Hilde Crevits,,crevits,Torhout,Burgemeester,CD&V Torhout
,Q15994,,,Hilde Crevits (2019).jpg,,,,,,
Hilde De Schutter,,,,,,,,Erpe-Mere,Gemeenteraadslid,
Hilde Eeckhout,Q3135599,,,,,,,Zwalm,Gemeenteraadslid,
Hilde Landtsheer,Q2380143,,,,,,,Hamme,Gemeenteraadslid,Open Vld
Hilde Langeraert,Q84078321,,,,,,,Nevele,,
Hilde Martin,,,,,,,,Wevelgem,,
Hilde Mertens,,,,,,,,Meise,Gemeenteraadslid,Groen
Hilde Peeters,,,,,,,,Niel,Lid van de Raad voor Maatschappelijk Welzijn,
Hilde Smets,,,,,,,,Bonheiden,,BR30
Hilde Stevens,,,,,,,,Ardooie,,samenplus
Hilde Vautmans,Q2780443,HVautmans,4977,Hilde Vautmans.jpg,Hilde Vautmans,,hildevautmans,Sint-Truiden,,Open Vld
,Q2780443,,,Hilde Vautmans (2019 A).jpg,,,,,,
Hugo Biets,Q2681041,,,,,,,Tongeren,,Tongeren.nu VLD CD&V
Hugo Philtjens,Q3142432,,,,,,,Kortessem,,Open Vld
Igor Philtjens,Q106474126,,,,,,,Alken,,Open Vld
Ikrame Kastit,Q22774630,IkrameKastit1,2181,,,,ikramekastit,Antwerpen,,Groen
Ilse Lambrechts,,,,,,,,Lier,,N-VA
Ilse Malfroot,Q65265739,,,Ilse Malfroot - 2019.jpg,,,,Ninove,,FORZA NINOVE
Ilse Todts,,,,,,,,,,Vlaams Belang
Ilse Uyttersprot,Q2249806,,,,,,,Aalst,,CD&V
Ine Tierens,,,,,,,,Londerzeel,,
Inga Verhaert,Q17429498,,,,,,,Antwerpen,,sp.a
Ingeborg De Meulemeester,Q2180624,,,,,,,Beveren,,N-VA
Inge Mertens,,,,,,,,Moerbeke,,Open Vld
Inge Smits,,,,,,,,,,Vlaams belang
Ingrid Aerts,,,,,,,,Putte,,Lijst Burgemeester
Ingrid Lieten,Q2749584,,,Ingrid Lieten.jpg,Ingrid Lieten,,,Zonhoven,Gemeenteraadslid,sp.a - Groen
Isabella Wouters,,,,,,,,Stabroek,,Open VLD
Ivan Goethals,,,,,,,,Lovendegem,,CD&V
Ivan Stevens,,,,,,,,Destelbergen,,CD&V
Ivo Belet,Q280390,Ivo-Belet-1506612632980641,12310,EUCDW Board 20.09.2019 02.jpg,Ivo Belet,,ivobelet,Limburg,,CD&V
Ivo Bogaerts,,,,,,,,Edegem,Lid van de Raad voor Maatschappelijk Welzijn,Groen
Ivo Wynants,Q26212092,,,,,,,Wijnegem,Burgemeester,N-VA
Jacques Bouckaert,,,,,,,,Destelbergen,,Open Vld
Jacques Gobert,,,,,,,,Overijse,Lid van de Raad voor Maatschappelijk Welzijn,
Jacques Timmermans,Q3160091,,,,,,,Ninove,Gemeenteraadslid,
Jacques Vanneste,,,,,,,,Wevelgem,,
Jan Baeten,,,,,,,,As,,CD&V
Jan Bekaert,,,,,,,,Ichtegem,Burgemeester,W.I.T.
Jan Bertels,Q17350464,,,Jan Bertels.jpg,Jan Bertels,,,Herentals,Burgemeester,sp.a
Jan Blommaert,,,,,,,,,,N-VA
Jan Bogaert,,,,,,,,Oosterzele,,Open Vld plus
Jan Colaert,,,,,,,,Diksmuide,Gemeenteraadslid,
Jan Craeynest,,,,,,,,Hechtel-Eksel,Gemeenteraadslid,N-VA
Jan De Hertogh,,,,,,,,Boom,,
Jan De Potter,,,,,,,,Wielsbeke,,U.
Jan Desmet,,,,,,,,Zonnebeke,,TEAM 8980
Jan De Witte,,,,,,,,Destelbergen,,Open Vld
Jane White,,,,,,,,Wemmel,,
Jan Geurts,,,,,,,,Lommel,,N-VA
Jan Huijbrechts,,,,,,,,Antwerpen,Provincieraadslid,
Jan Margot,,,,,,,,Dilbeek,Gemeenteraadslid,CD&V
Jan Martens,,,,,,,,Oosterzele,,N-VA
Jan Meertens,,,,,,,,Oud-Heverlee,Lid van de Raad voor Maatschappelijk Welzijn,
Jan Mortelmans,Q3161725,,,,,,,Lier,Gemeenteraadslid,VLAAMS BELANG
Janna Rommel-Opstaele,Q106640195,,,,,,,Middelkerke,Burgemeester,
Jan Peeters,Q556456,,,,,,,Herentals,Burgemeester,
Jan Pollet,,,,,,,,Jabbeke,,CD&V
Jan RAEPSAET,,,,,,,,Melle,Gemeenteraadslid,
Jan Roets,,,,,,,,Sint-Laureins,,Samen Anders
Jan Rombaut,,,,,,,,Sint-Genesius-Rode,Gemeenteraadslid,Engagement 1640
Jan Smet,,,,,,,,Waasmunster,,
Jan Spiritus,,,,,,,,Linter,Gemeenteraadslid,
Jan  Steemans,,,,,,,,Peer,Lid van het Bijzonder Comité voor de Sociale Dienst,
Jan Stevens,Q2580469,,,,,,,Buggenhout,Burgemeester,CD&V
Jan Steyaert,Q28050902,,,Jan Steyaert.jpg,,,,Beersel,,Groen
Jan Thirion,,,,,,,,Bonheiden,,N-VA
Jan Tielens,,,,,,,,Kinrooi,Gemeenteraadslid,CD&V
Jan Trap,,,,,,,,Dilbeek,,
Jan Van Brabant,,,,,,,,Overijse,,Overijse2002 - N-VA
Jan Vanderstraeten,,,,,,,,Lebbeke,Burgemeester,CD&V
Jan van der Vloet,,,,,,,,Antwerpen,Districtsraadslid,
Jan Van Otten,,,,,,,,Turnhout,,sp.a
Jan Van Steenbergen,,,,,,,,,,Vlaams Belang
Jan Verbist,,,,,,,,Olen,,CD&V
Jan Verdoodt,,,,,,,,Zemst,,CD&V
Jan Verhaert,,,,,,,,Olen,,O1
Jan Vetters,,,,,,,,Veurne,Gemeenteraadslid,
Jan Wouters,,,,,,,,Hove,,N-VA
Jean-Marie Bonte,Q13736671,,,,,,,Oostrozebeke,Burgemeester,
Jean de Béthune,,,,,,,,West-Vlaanderen,,CD&V 4.0
Jean Dewit,,,,,,,,Grimbergen,,UF
Jean Geraerts,Q15876971,,,,,,,Bilzen,,VLAAMS BELANG
Jean-Jacques De Gucht,Q2363798,,,Jean-Jacques De Gucht.jpg,Jean-Jacques De Gucht,,,Aalst,,Open VLD
Jean-Michel Hubert,,,,,,,,Zaventem,,UF
Jean Michotte,,,,,,,,Bekkevoort,Gemeenteraadslid,sp.a
Jean-Paul De Corte,,,,,,,,Wetteren,,
Jean-Paul Martin,,,,,,,,Kluisbergen,,CD&V PLUS
Jean-Pierre Taverniers,Q2440530,,,,,,,Hoegaarden,Burgemeester,CD&V
Jean Sente,,,,,,,,Borgloon,Gemeenteraadslid,sp.a
Jean Timmermans,,,,,,,,,,N-VA
Jean Vandecasteele,Q2397200,,,Willy Bosschem292.jpg,,,,Oostende,Burgemeester,
Jean Van Hout,,,,,,,,Borgerhout,Districtsraadslid,sp.a - Groen
Jean Verstappen,,,,,,,,Dilsen-Stokkem,Gemeenteraadslid,CD&V
Jef Lambrecht,,,,,,,,Aalter (voor fusie),,
Jef Peeters,,,,,,,,Olen,,N-VA
Jelle Wouters,,,,,,,,Rotselaar,Burgemeester,CD&V
Jenne De Potter,Q2135372,,,,,,,Zottegem,Burgemeester,CD&V
Jeremie Vaneeckhout,Q18225216,jeremie.vaneeckhout,1546,Jeremie Vaneeckhout 2.jpg,Jeremie Vaneeckhout,,jeremievaneeckh,Anzegem,,INZET
Jeroen Baert,Q25693043,,,,,,,Boom,Burgemeester,N-VA
Jeroen Soete,,,,,,,,Oostende,,sp.a-stadsmakers
Jeroen Tiebout,Q114237703,,,,,,,Sint-Pieters-Leeuw,,N-VA
Jeroen Van den Bogaert,,,,,,,,Baarle-Hertog,,N-VA
Jeroen Van de Water,,,,,,,,Kasterlee,,N-VA
Jessica de Wit,,,,,,,,Peer,Gemeenteraadslid,N-VA
Jo Baert,,,,,,,,Ieper,,CD&V
Jochen Martens,,,,,,,,Bilzen,,BETER BILZEN
Joël Vander Elst,Q23122770,,,,,,,Bertem,Burgemeester,Open VLD
Joeri De Maertelaere,Q55824573,,,,,,,Evergem,Burgemeester,N-VA
Jo Govaert,,,,,,,,Herzele,Lid van het Bijzonder Comité voor de Sociale Dienst,
Johan Albrecht,,,,,,,,Alveringem,,GEMEENTEBELANGENCD&V
Johan Bert,,,,,,,,Wortegem-Petegem,,
Johan De Smet,,,,,,,,Halle,,CD&V
Johan Matthys,,,,,,,,Lo-Reninge,,DYNAMISCH
Johannes Kosten,,,,,,,,Overpelt,Gemeenteraadslid,OPEN-LIJST
Johan Peeters,,,,,,,,Antwerpen,,Vooruit
Johan Smet,,,,,,,,Beveren,,N-VA
Johan Smits,,,,,,,,Wommelgem,Gemeenteraadslid,N-VA
Johan Stevens,,,,,,,,Oostkamp,Lid van de Raad voor Maatschappelijk Welzijn,
Johan Thomas,,,,,,,,Brakel,,sp.a
Johan Timmermans,Q1962560,,,Johan timmermans-1446606619.jpg,Johan Timmermans,,,Mechelen,Gemeenteraadslid,vld-groen-m+
Johan Tollenaere,Q104192074,,,,,,,Maaseik,Burgemeester,Open Vld
Johan Vande Lanotte,Q946183,,,Johan-vande-lanotte-1338926669.jpg,Johan Vande Lanotte,,,Oostende,Burgemeester,
Johan Van Overtveldt,Q15651402,,43010,DOORSTEP 2016-09-09 EUROGROUP Ministers (29268771160).jpg,Johan Van Overtveldt,,jvanovertveldt,,,N-VA
Johan Van Tittelboom,Q2384016,,,Johan-van-tittelboom-1359731929.jpg,Johan Van Tittelboom,,,Herzele,Burgemeester,Open Vld
Johan Verstreken,Q2620291,,,"Johan Verstreken (De Eregalerij, 2013-02-07).jpg",Johan Verstreken,,,Oostende,Gemeenteraadslid,
Johan Wouters,,,,,,,,Olen,Lid van het Bijzonder Comité voor de Sociale Dienst,O1
Joke Quintens,Q15127175,,,,,,,Genk,,PROgenk
Jo Lamberts,,,,,,,,Affligem,Lid van het Bijzonder Comité voor de Sociale Dienst,GROEN
Jordi Cornet,,,,,,,,Herne,Gemeenteraadslid,CD&V
Joris Casteels,,,,,,,,Putte,,CD&V
Joris Mertens,,,,,,,,Lommel,,CD&V
Joris Nachtergaele,Q69747180,,,,,,,Maarkedal,Burgemeester,N-VA
Joris Van Hauthem,Q1086626,,,,,,,Lennik,Gemeenteraadslid,VLAAMS BELANG
Jo Ruyters,,,,,,,,Riemst,Gemeenteraadslid,N-VA
Jos Aerts,,,,,,,,Gingelom,,CD&V
Jos Decorte,,,,,,,,Nieuwpoort,,CD&V
Joseph Mertens,,,,,,,,Aartselaar,Gemeenteraadslid,N-VA
Jos Lantmeeters,Q17350718,,1239,,,,joslantmeeters,Genk,,N-VA
Jos Martens,,,,,,,,Hoogstraten,,Hoogstraten Leeft
Jos Peeters,,,,,,,,Hove,,Fan Van Hove
Jos Rutten,,,,,,,,Oud-Heverlee,,Vooruit
Jos Smets,,,,,,,,Grimbergen,,CD&V
Jos Stassen,Q2499518,,,Jos-stassen-1372068521.jpg,,,,Kruibeke,Burgemeester,SamenVoorKruibeke
Jos Thomas,,,,,,,,Kapelle-op-den-Bos,,CD&V
Jos Wouters,,,,,,,,Leopoldsburg,,CD&V
Jo Timmermans,,,,,,,,Roosdaal,,CD&V
Jozef Bogaerts,,,,,,,,Balen,Lid van de Raad voor Maatschappelijk Welzijn,
Jozef Smets,,,,,,,,Ravels,Lid van het Bijzonder Comité voor de Sociale Dienst,
Julien Deporte,,,,,,,,Niel,Gemeenteraadslid,SAMEN
Jurgen Content,,,,,,,,Blankenberge,,Vooruit
Jurgen Haustraete,,,,,,,,Kruisem,,CD&V
Kaat Van der Marliere,Q97059613,,,,,,,Blankenberge,Gemeenteraadslid,Open Vld
Karel De Gucht,Q381218,,,Karel-de-gucht.jpg,Karel De Gucht,,,Berlare,,Open Vld
Karel Uyttersprot,Q2013179,,,,,,,Lebbeke,,
Karima Mokhtar,,,,,,,,Grimbergen,,Vooruit
Karin De Petter,,,,,,,,Meise,,N-VA
Karin Robert,,,,,,,,Brugge,,Groen
Karin Staes,,,,,,,,Merksem,,Groen
Karin Temmerman,Q3193147,,,,,,,Gent,,Vooruit
Karl Tierens,,,,,,,,Buggenhout,Gemeenteraadslid,
Katherine Landuyt,,,,,,,,Pepingen,,
Kathleen Deckx,Q2122036,,,,,,,Mol,,sp.a
Kathleen Depoorter,Q64210661,,,,,,kdep01,Evergem,,N-VA
Kathleen Gies,,,,,,,,,,GROEN
Kathleen Helsen,Q1873722,,,Kathleen Helsen - 2018.jpg,,,,Herselt,,CD&V
Kathleen Hutsebaut,Q2528181,,,,,,,Kruisem,Burgemeester,SAMEN
Kathleen Krekels,Q17149632,,,,,,KathleenKrekels,Schilde,,N-VA
Kathleen Pisman,Q112132482,,,,,,,Evergem,,Groen
Kathleen Van Brempt,Q15995,kathleenvanbrempt,14568,Kathleen van Brempt.jpg,Kathleen Van Brempt,,kvanbrempt,Antwerpen,Gemeenteraadslid,sp.a
Kathleen van der Hooft,Q3194092,,,,,,,Knokke-Heist,,gemeentebelangen
Katia della Faille de Leverghem,Q284071,,,,,,,Huldenberg,,OPEN VLD
Katia Segers,Q17300296,,,Katia Segers - 2019.jpg,,,,Liedekerke,,sp.a vooruit
Katja Daman,,,,,,,,Sint-Gillis-Waas,,Groen-Vooruit
Katja Gabriëls,Q18433796,,,,,,,Berlare,Burgemeester,Open Vld
Katja Verheyen,Q64667299,,,,,,KatjaVerheyen,Limburg,,N-VA
Katleen Bury,Q65269549,,,,,,KatleenBury,Sint-Pieters-Leeuw,,N-VA
Katleen Martens,Q3194179,,,,,,,Hasselt,Gemeenteraadslid,VLAAMS BELANG
Katrien Devos,,,,,,,,Kortenaken,Lid van het Bijzonder Comité voor de Sociale Dienst,CD&V
Katrien De Waele,,,,,,,,,,Open Zulte
Katrien Houtmeyers,Q64138473,,,,,,khoutmeyers,,,N-VA
Katrien Partyka,Q2709142,,,Katrien Partyka 6.jpg,Katrien Partyka,,,Tienen,Burgemeester,CD&V
Katrien Scheirs,,,,,,,,,,N-VA
Katrien Schryvers,Q2344465,,,,,,,Zoersel,,CD&V
Katrien Seynaeve,,,,,,,,Zoersel,,Groen
Katrien Vandecasteele,,,,,,,,Ingelmunster,,De Brug/N-VA/OpenVLD
Katrin Wouters,,,,,,,,Geel,Lid van de Raad voor Maatschappelijk Welzijn,
Kenneth Taylor,Q2235139,,,,,,,Wichelen,Burgemeester,Open Vld
Kerstin Hopf,,,,,,,,Mechelen,,N-VA
Kim Buyst,Q65282882,buystkim,1159,,,,BuystKim,,,Groen
Kim De Witte,Q20871271,,,Kim de witte-1521711345.jpg,,,,Hasselt,,PVDA
Klaas Meesters,,,,,,,,Edegem,Gemeenteraadslid,CD&V2650
Klaas Slootmans,Q64706422,,1089,Klaas Slootmans - 2019.jpg,,,KlaasSlootmans,Beersel,,VLAAMS BELANG
Koen Bultinck,Q926173,,,,,,,Diksmuide,,N-VA
Koen De Smet,,,,,,,,Sint-Niklaas,,N-VA
Koen Loete,Q21105,,,Koen Loete.jpg,Koen Loete,,,Eeklo,Burgemeester,CD&V
Koen Maertens,Q90847460,,,,,,,Tervuren,Lid van het Bijzonder Comité voor de Sociale Dienst,
Koen Mertens,,,,,,,,Moerbeke,,Open Vld
